"country","department","municipality","scale","COD","year","malaria_pVivax","malaria_pFalci"
"Venezuela","Bolivar/PADRE PEDRO CHIEN","C. P. P. CHIEN","parroquia","VE071101",1999,0,0
"Venezuela","Bolivar/CARONI","SIMON BOLIVAR","parroquia","VE070105",1999,0,0
"Venezuela","Bolivar/CARONI","VISTA AL SOL","parroquia","VE070108",1999,0,0
"Venezuela","Bolivar/CARONI","YOCOIMA","parroquia","VE070110",1999,0,0
"Venezuela","Bolivar/PIAR","SECCION CAPITAL PIAR","parroquia","VE070601",1999,0,0
"Venezuela","Bolivar/CARONI","CHIRICA","parroquia","VE070102",1999,0,0
"Venezuela","Bolivar/CARONI","DALLA COSTA","parroquia","VE070103",1999,0,0
"Venezuela","Bolivar/CARONI","UNARE","parroquia","VE070106",1999,0,0
"Venezuela","Bolivar/HERES","PANAPANA","parroquia","VE070508",1999,0,0
"Venezuela","Bolivar/CARONI","CACHAMAY","parroquia","VE070101",1999,0,0
"Venezuela","Bolivar/CARONI","UNIVERSIDAD","parroquia","VE070107",1999,0,0
"Venezuela","Bolivar/CARONI","POZO VERDE","parroquia","VE070109",1999,0,0
"Venezuela","Bolivar/HERES","MARHUANTA","parroquia","VE070505",1999,0,0
"Venezuela","Bolivar/HERES","ORINOCO","parroquia","VE070507",1999,0,0
"Venezuela","Bolivar/HERES","CATEDRAL","parroquia","VE070502",1999,0,0
"Venezuela","Bolivar/HERES","AGUA SALADA","parroquia","VE070501",1999,1,1
"Venezuela","Bolivar/HERES","LA SABANITA","parroquia","VE070504",1999,0,0
"Venezuela","Bolivar/HERES","VISTA HERMOSA","parroquia","VE070506",1999,0,0
"Venezuela","Bolivar/SUCRE","MOITACO","parroquia","VE071005",1999,3,0
"Venezuela","Bolivar/HERES","JOSE ANTONIO PAEZ","parroquia","VE070503",1999,0,0
"Venezuela","Bolivar/PIAR","A. E. BLANCO","parroquia","VE070602",1999,0,0
"Venezuela","Bolivar/HERES","ZEA","parroquia","VE070509",1999,0,0
"Venezuela","Bolivar/SIFONTES","SECCION CAPITAL SIFONTES","parroquia","VE070901",1999,3,3
"Venezuela","Bolivar/RAUL LEONI","S. C. RAUL LEONI","parroquia","VE070701",1999,0,0
"Venezuela","Bolivar/ROSCIO","SALOM","parroquia","VE070802",1999,0,0
"Venezuela","Bolivar/CEDEÑO","ALTAGRACIA","parroquia","VE070202",1999,0,1
"Venezuela","Bolivar/CEDEÑO","ASCENCION FARRERAS","parroquia","VE070203",1999,72,189
"Venezuela","Bolivar/PIAR","PEDRO COVA","parroquia","VE070603",1999,165,164
"Venezuela","Bolivar/ROSCIO","S. C. ROSCIO","parroquia","VE070801",1999,0,0
"Venezuela","Bolivar/SUCRE","LAS MAJADAS","parroquia","VE071004",1999,342,305
"Venezuela","Bolivar/CEDEÑO","SECCION CAPITAL CEDEÑO","parroquia","VE070201",1999,120,110
"Venezuela","Bolivar/EL CALLAO","C. EL CALLAO","parroquia","VE070301",1999,0,0
"Venezuela","Bolivar/RAUL LEONI","SANTA BARBARA","parroquia","VE070704",1999,0,0
"Venezuela","Bolivar/SUCRE","GUARATARO","parroquia","VE071003",1999,0,0
"Venezuela","Bolivar/SUCRE","S. C. SUCRE","parroquia","VE071001",1999,1,3
"Venezuela","Bolivar/RAUL LEONI","SAN FRANCISCO","parroquia","VE070703",1999,0,0
"Venezuela","Bolivar/SUCRE","ARIPAO","parroquia","VE071002",1999,5,1
"Venezuela","Bolivar/CEDEÑO","LA URBANA","parroquia","VE070205",1999,79,87
"Venezuela","Bolivar/SIFONTES","DALLA COSTA","parroquia","VE070902",1999,2641,271
"Venezuela","Bolivar/CEDEÑO","GUANIAMO","parroquia","VE070204",1999,0,0
"Venezuela","Bolivar/RAUL LEONI","BARCELONETA","parroquia","VE070702",1999,477,174
"Venezuela","Bolivar/CEDEÑO","PIJIGUAOS","parroquia","VE070206",1999,0,0
"Venezuela","Bolivar/SIFONTES","SAN ISIDRO","parroquia","VE070903",1999,30,120
"Venezuela","Bolivar/GRAN SABANA","SECCION CAPITAL GRAN SABANA","parroquia","VE070401",1999,216,83
"Venezuela","Bolivar/GRAN SABANA","IKABARU","parroquia","VE070402",1999,0,0
"Venezuela","Bolivar/CARONI","ONCE DE ABRIL","parroquia","VE070104",2000,0,0
"Venezuela","Bolivar/PADRE PEDRO CHIEN","C. P. P. CHIEN","parroquia","VE071101",2000,0,0
"Venezuela","Bolivar/CARONI","SIMON BOLIVAR","parroquia","VE070105",2000,0,0
"Venezuela","Bolivar/CARONI","VISTA AL SOL","parroquia","VE070108",2000,0,0
"Venezuela","Bolivar/CARONI","YOCOIMA","parroquia","VE070110",2000,0,0
"Venezuela","Bolivar/PIAR","SECCION CAPITAL PIAR","parroquia","VE070601",2000,0,0
"Venezuela","Bolivar/CARONI","CHIRICA","parroquia","VE070102",2000,0,0
"Venezuela","Bolivar/CARONI","DALLA COSTA","parroquia","VE070103",2000,0,0
"Venezuela","Bolivar/CARONI","UNARE","parroquia","VE070106",2000,0,0
"Venezuela","Bolivar/HERES","PANAPANA","parroquia","VE070508",2000,0,0
"Venezuela","Bolivar/CARONI","CACHAMAY","parroquia","VE070101",2000,0,0
"Venezuela","Bolivar/CARONI","UNIVERSIDAD","parroquia","VE070107",2000,0,0
"Venezuela","Bolivar/CARONI","POZO VERDE","parroquia","VE070109",2000,0,0
"Venezuela","Bolivar/HERES","MARHUANTA","parroquia","VE070505",2000,0,0
"Venezuela","Bolivar/HERES","ORINOCO","parroquia","VE070507",2000,0,0
"Venezuela","Bolivar/HERES","CATEDRAL","parroquia","VE070502",2000,0,0
"Venezuela","Bolivar/HERES","AGUA SALADA","parroquia","VE070501",2000,0,0
"Venezuela","Bolivar/HERES","LA SABANITA","parroquia","VE070504",2000,0,0
"Venezuela","Bolivar/HERES","VISTA HERMOSA","parroquia","VE070506",2000,0,0
"Venezuela","Bolivar/SUCRE","MOITACO","parroquia","VE071005",2000,0,0
"Venezuela","Bolivar/HERES","JOSE ANTONIO PAEZ","parroquia","VE070503",2000,0,0
"Venezuela","Bolivar/PIAR","A. E. BLANCO","parroquia","VE070602",2000,0,0
"Venezuela","Bolivar/HERES","ZEA","parroquia","VE070509",2000,0,0
"Venezuela","Bolivar/SIFONTES","SECCION CAPITAL SIFONTES","parroquia","VE070901",2000,0,0
"Venezuela","Bolivar/RAUL LEONI","S. C. RAUL LEONI","parroquia","VE070701",2000,0,0
"Venezuela","Bolivar/ROSCIO","SALOM","parroquia","VE070802",2000,0,0
"Venezuela","Bolivar/CEDEÑO","ALTAGRACIA","parroquia","VE070202",2000,0,0
"Venezuela","Bolivar/CEDEÑO","ASCENCION FARRERAS","parroquia","VE070203",2000,276,189
"Venezuela","Bolivar/PIAR","PEDRO COVA","parroquia","VE070603",2000,191,79
"Venezuela","Bolivar/ROSCIO","S. C. ROSCIO","parroquia","VE070801",2000,0,0
"Venezuela","Bolivar/SUCRE","LAS MAJADAS","parroquia","VE071004",2000,688,638
"Venezuela","Bolivar/CEDEÑO","SECCION CAPITAL CEDEÑO","parroquia","VE070201",2000,334,131
"Venezuela","Bolivar/EL CALLAO","C. EL CALLAO","parroquia","VE070301",2000,0,0
"Venezuela","Bolivar/RAUL LEONI","SANTA BARBARA","parroquia","VE070704",2000,0,0
"Venezuela","Bolivar/SUCRE","GUARATARO","parroquia","VE071003",2000,0,0
"Venezuela","Bolivar/SUCRE","S. C. SUCRE","parroquia","VE071001",2000,0,0
"Venezuela","Bolivar/RAUL LEONI","SAN FRANCISCO","parroquia","VE070703",2000,0,0
"Venezuela","Bolivar/SUCRE","ARIPAO","parroquia","VE071002",2000,0,0
"Venezuela","Bolivar/CEDEÑO","LA URBANA","parroquia","VE070205",2000,227,65
"Venezuela","Bolivar/SIFONTES","DALLA COSTA","parroquia","VE070902",2000,1546,569
